pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
615.474 -0.889955 -1.28235 430.81 0.756609 2.39391 1378.76 1356.26 0.430777 0.61418 0.516866 0.622892 543.337 0.411251 1.69286 1488.35 0.942876 1.5571
-1 -1 -1 -1 -1 -1 -1 358.796 -1 -1 -1 -1 18.974 1.0479 1.51059 106.281 0.192097 1.5571
1564.18 0.0952107 1.43388 479.72 -0.038188 -1.57784 2059.31 761.479 0.34619 0.423171 0.723013 0.747527 1124.84 -1.64119 0.212339 2326.96 0.646645 1.5571
964.689 -0.49677 -1.25916 725.165 -1.5767 1.43287 1900.24 1866.77 0.709908 0.174949 0.685016 0.762948 385.568 2.48774 0.139107 1770.79 0.921925 1.5571
-1 -1 -1 -1 -1 -1 -1 86.4537 -1 -1 -1 -1 15.353 -2.40478 1.16255 100.331 0.198562 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 43.0254 0.597239 2.86338 39.594 1 1.5571
-1 -1 -1 -1 -1 -1 -1 99.7683 -1 -1 -1 -1 20.8941 -0.0845467 1.50345 133.595 0.966375 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 57.978 -1.10126 3.12284 85.0876 1 1.5571
592.425 0.428075 -1.41779 387.594 2.50443 1.69193 1530.17 1506.7 0.674799 0.745305 0.644764 0.668376 186.029 1.72527 0.0209939 975.563 0.221099 1.5571
979.416 0.178423 2.35985 775.786 0.323697 0.429342 1460.44 1441.16 0.489593 0.410816 0.540084 0.634684 274.948 -1.3267 0.282161 2458.21 0.430595 1.5571
1949.9 -0.377051 2.67474 688.38 -1.24219 0.670946 2210.8 2233.25 0.449678 0.664006 0.243143 0.717526 1098.51 -0.893454 0.0692225 3289.5 0.977362 1.5571
461.642 -0.0322137 1.18116 356.36 0.780987 -1.94008 890.719 855.651 0.408753 0.467232 0.501373 0.431992 83.4657 -1.86017 0.0641077 823.085 0.173678 1.5571
1256.18 0.273745 1.38843 775.621 -1.59839 -0.839264 2891.33 2003.16 0.256194 0.418257 0.788366 0.66605 649.626 -2.39551 0.16489 2477.86 0.469782 1.5571
885.391 -0.16822 -0.627798 753.457 -1.65413 -2.41809 1854.66 1817.8 0.510106 0.422691 0.767689 0.655009 544.761 1.44225 0.543127 2235.98 0.592935 1.5571
